run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
canonical,EP1467415B1,F0003,quality_gate_stage2,0.0,0.0004391257430327263,0.999981767462213,1.0,0.9999635355892649,,,,,
cohort,EP1467415B1,F0003,quality_gate_stage2,0.0,0.0004391257430327263,0.999981767462213,1.0,0.9999635355892649,0.0,0.01920366432349031,0.9991496567605936,1.0,0.9983007584597433
canonical,EP1833535B1,F0001,quality_gate_stage2,0.0,0.0008747152711913115,0.9999096939445685,1.0,0.9998194041980315,,,,,
cohort,EP1833535B1,F0001,quality_gate_stage2,0.0,0.0008747152711913115,0.9999096939445685,1.0,0.9998194041980315,1.0,0.11598021509001522,0.9995725953039285,0.9999746126310622,0.9991709010909628
canonical,EP1838040B1,F0001,ok,0.0,0.019387143847677847,0.9996596903181896,1.0,0.999319612178942,1.0,0.24939494737874834,0.9990067822582934,1.0,0.9980155355219141
cohort,EP1838040B1,F0001,ok,0.0,0.019387143847677847,0.9996596903181896,1.0,0.999319612178942,1.0,0.24939494737874834,0.9990067822582934,1.0,0.9980155355219141
canonical,EP1839350B1,F0002,ok,0.0,0.00037511184434149507,0.9998799611510635,1.0,0.9997599511173184,1.0,0.13741499185590744,0.9992464013075629,0.9999778103226379,0.9985160614525139
cohort,EP1839350B1,F0002,ok,0.0,0.00037511184434149507,0.9998799611510635,1.0,0.9997599511173184,1.0,0.13741499185590744,0.9992464013075629,0.9999778103226379,0.9985160614525139
canonical,EP1923025B1,F0001,quality_gate_stage3,0.0,0.008153401275439481,0.9983122182579529,1.0,0.9966301241308706,1.0,0.22048179509343924,0.9970691014104505,0.9999561307304233,0.994198694706309
cohort,EP1923025B1,F0001,quality_gate_stage3,0.0,0.008153401275439481,0.9983122182579529,1.0,0.9966301241308706,1.0,0.22048179509343924,0.9970691014104505,0.9999561307304233,0.994198694706309
canonical,EP1974619B1,F0001,quality_gate_stage3,0.0,0.0005395618926457371,0.9999470114455278,1.0,0.9998940285063318,1.0,0.06557740375147227,0.9998100519962949,0.9999557228248838,0.999664423603384
cohort,EP1974619B1,F0001,quality_gate_stage3,0.0,0.0005395618926457371,0.9999470114455278,1.0,0.9998940285063318,1.0,0.06557740375147227,0.9998100519962949,0.9999557228248838,0.999664423603384
canonical,EP2005342B1,F0006,quality_gate_stage2,0.0,0.011206077383882681,0.9994437749142486,1.0,0.9988881682572037,,,,,
cohort,EP2005342B1,F0006,quality_gate_stage2,0.0,0.011206077383882681,0.9994437749142486,1.0,0.9988881682572037,1.0,0.21770001871798428,0.9973456749190551,0.9997057092407299,0.9949967571574169
